# Created on 2026-03-12 15:33:08.204556+01:00 (1773325988.204556 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 7.908, 508
4, 7.933, 537
5, 7.959, 508
4, 7.985, 538
5, 8.009, 508
4, 8.035, 536
5, 8.060, 508
4, 8.086, 533
5, 8.111, 508
4, 8.136, 528
5, 8.162, 508
4, 8.187, 522
5, 8.212, 508
4, 8.237, 515
5, 8.263, 508
4, 8.289, 507
5, 8.313, 508
4, 8.339, 499
5, 8.364, 508
4, 8.390, 491
5, 8.415, 507
4, 8.440, 484
5, 8.466, 507
4, 8.491, 478
5, 8.516, 507
4, 8.542, 473
5, 8.567, 507
4, 8.593, 469
5, 8.617, 507
4, 8.643, 467
5, 8.669, 507
4, 8.694, 467
5, 8.719, 507
4, 8.744, 469
5, 8.770, 508
4, 8.796, 472
5, 8.820, 508
4, 8.846, 476
5, 8.871, 507
4, 8.897, 482
5, 8.922, 508
4, 8.947, 489
5, 8.973, 507
4, 8.998, 497
5, 9.023, 508
4, 9.048, 505
5, 9.074, 508
4, 9.100, 512
5, 9.124, 508
4, 9.150, 520
5, 9.175, 508
4, 9.201, 526
5, 9.226, 508
4, 9.251, 531
5, 9.277, 507
4, 9.302, 534
5, 9.327, 508
4, 9.353, 536
5, 9.378, 508
4, 9.404, 537
5, 9.428, 508
4, 9.454, 535
5, 9.480, 508
4, 9.505, 531
5, 9.530, 508
4, 9.555, 527
5, 9.581, 507
4, 9.607, 520
5, 9.631, 508
4, 9.657, 514
5, 9.682, 508
4, 9.708, 506
5, 9.733, 508
4, 9.758, 499
5, 9.784, 508
4, 9.809, 490
5, 9.834, 508
4, 9.860, 483
5, 9.885, 507
4, 9.911, 478
5, 9.935, 507
4, 9.961, 474
5, 9.986, 507
4, 10.012, 470
5, 10.037, 506
4, 10.062, 469
5, 10.088, 507
4, 10.113, 469
5, 10.138, 506
4, 10.164, 470
5, 10.189, 507
4, 10.215, 474
5, 10.239, 507
4, 10.265, 478
5, 10.291, 507
4, 10.316, 484
5, 10.341, 507
4, 10.366, 491
5, 10.392, 507
4, 10.418, 499
5, 10.442, 507
4, 10.468, 506
5, 10.493, 507
4, 10.519, 514
5, 10.544, 508
4, 10.569, 520
5, 10.595, 508
4, 10.620, 526
5, 10.646, 507
4, 10.671, 531
5, 10.696, 507
4, 10.722, 534
5, 10.747, 508
4, 10.772, 536
5, 10.797, 508
4, 10.823, 535
5, 10.849, 508
4, 10.873, 533
5, 10.899, 507
4, 10.924, 530
5, 10.950, 508
4, 10.975, 525
5, 11.000, 507
4, 11.026, 519
5, 11.051, 508
4, 11.076, 512
5, 11.102, 507
4, 11.127, 505
5, 11.153, 507
4, 11.177, 497
5, 11.203, 508
4, 11.229, 490
5, 11.254, 507
4, 11.279, 484
5, 11.304, 507
4, 11.330, 478
5, 11.356, 507
4, 11.380, 474
5, 11.406, 507
4, 11.431, 471
5, 11.457, 507
4, 11.482, 469
5, 11.507, 507
4, 11.533, 470
5, 11.558, 507
4, 11.583, 472
5, 11.608, 507
4, 11.634, 476
5, 11.660, 507
4, 11.684, 480
5, 11.710, 507
4, 11.735, 486
5, 11.761, 507
4, 11.786, 493
5, 11.811, 508
4, 11.837, 500
5, 11.862, 507
4, 11.887, 507
5, 11.913, 507
4, 11.938, 515
5, 11.964, 507
4, 11.988, 521
5, 12.014, 507
4, 12.040, 526
5, 12.065, 508
4, 12.090, 530
5, 12.115, 508
4, 12.141, 533
5, 12.167, 507
4, 12.191, 534
5, 12.217, 508
4, 12.242, 534
5, 12.268, 508
4, 12.293, 532
5, 12.318, 506
4, 12.344, 528
5, 12.369, 507
4, 12.394, 523
5, 12.420, 507
4, 12.445, 518
5, 12.471, 507
4, 12.495, 511
5, 12.521, 507
4, 12.546, 504
5, 12.572, 507
4, 12.597, 497
5, 12.622, 507
4, 12.648, 489
5, 12.673, 507
4, 12.698, 483
5, 12.724, 507
4, 12.749, 479
5, 12.775, 507
4, 12.799, 474
5, 12.825, 507
4, 12.851, 472
5, 12.876, 507
4, 12.901, 471
5, 12.926, 507
4, 12.952, 472
5, 12.978, 507
4, 13.002, 473
5, 13.028, 507
4, 13.053, 477
5, 13.079, 507
4, 13.104, 482
5, 13.129, 507
4, 13.155, 487
5, 13.180, 507
4, 13.205, 493
5, 13.231, 507
4, 13.256, 501
5, 13.282, 508
4, 13.306, 508
5, 13.332, 507
4, 13.357, 515
5, 13.383, 507
4, 13.408, 520
5, 13.433, 507
4, 13.459, 526
5, 13.484, 508
4, 13.509, 529
5, 13.535, 508
4, 13.560, 532
5, 13.586, 508
4, 13.610, 533
5, 13.636, 508
4, 13.662, 532
5, 13.687, 507
4, 13.712, 530
5, 13.737, 508
4, 13.763, 526
5, 13.789, 508
4, 13.813, 521
5, 13.839, 508
4, 13.864, 516
5, 13.890, 507
4, 13.915, 509
5, 13.940, 508
4, 13.966, 502
5, 13.991, 507
4, 14.016, 495
5, 14.042, 508
4, 14.067, 489
5, 14.093, 507
4, 14.117, 484
5, 14.143, 508
4, 14.168, 479
5, 14.194, 507
4, 14.219, 475
5, 14.244, 508
4, 14.270, 472
5, 14.295, 508
4, 14.320, 472
5, 14.346, 507
4, 14.371, 473
5, 14.397, 507
4, 14.421, 474
5, 14.447, 508
4, 14.473, 478
5, 14.498, 507
4, 14.523, 483
5, 14.548, 507
4, 14.574, 489
5, 14.600, 507
4, 14.624, 495
5, 14.650, 508
4, 14.675, 501
5, 14.701, 508
4, 14.726, 508
5, 14.751, 508
4, 14.777, 515
5, 14.802, 507
4, 14.827, 521
5, 14.853, 508
4, 14.878, 525
5, 14.904, 508
4, 14.928, 529
5, 14.954, 508
4, 14.980, 531
5, 15.005, 508
4, 15.030, 532
5, 15.055, 507
4, 15.081, 531
5, 15.106, 508
4, 15.131, 528
5, 15.157, 508
4, 15.182, 525
5, 15.208, 508
4, 15.232, 520
5, 15.258, 507
