# Created on 2026-03-12 15:56:59.857791+01:00 (1773327419.857791 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 7.908, 501
4, 7.933, 381
5, 7.958, 505
4, 7.984, 385
5, 8.009, 513
4, 8.035, 393
5, 8.060, 522
4, 8.085, 402
5, 8.111, 533
4, 8.136, 412
5, 8.161, 544
4, 8.187, 423
5, 8.212, 556
4, 8.238, 436
5, 8.262, 567
4, 8.288, 448
5, 8.314, 578
4, 8.339, 458
5, 8.364, 587
4, 8.389, 468
5, 8.415, 594
4, 8.441, 476
5, 8.465, 599
4, 8.491, 481
5, 8.516, 602
4, 8.542, 485
5, 8.566, 602
4, 8.592, 486
5, 8.618, 599
4, 8.643, 483
5, 8.668, 594
4, 8.693, 477
5, 8.719, 586
4, 8.745, 471
5, 8.769, 577
4, 8.795, 462
5, 8.820, 567
4, 8.846, 452
5, 8.871, 556
4, 8.896, 440
5, 8.922, 544
4, 8.947, 428
5, 8.972, 534
4, 8.998, 416
5, 9.023, 523
4, 9.049, 405
5, 9.073, 513
4, 9.099, 396
5, 9.125, 507
4, 9.150, 388
5, 9.175, 502
4, 9.200, 383
5, 9.226, 500
4, 9.252, 380
5, 9.276, 500
4, 9.302, 380
5, 9.327, 503
4, 9.353, 382
5, 9.378, 509
4, 9.403, 387
5, 9.429, 515
4, 9.454, 394
5, 9.479, 525
4, 9.504, 404
5, 9.530, 535
4, 9.556, 415
5, 9.580, 546
4, 9.606, 426
5, 9.631, 557
4, 9.657, 438
5, 9.682, 568
4, 9.707, 449
5, 9.733, 577
4, 9.758, 460
5, 9.783, 586
4, 9.809, 471
5, 9.834, 594
4, 9.860, 478
5, 9.884, 598
4, 9.910, 482
5, 9.936, 600
4, 9.961, 485
5, 9.986, 599
4, 10.011, 485
5, 10.037, 597
4, 10.063, 482
5, 10.087, 591
4, 10.113, 478
5, 10.138, 584
4, 10.164, 470
5, 10.189, 575
4, 10.214, 461
5, 10.240, 565
4, 10.265, 450
5, 10.290, 555
4, 10.315, 438
5, 10.341, 544
4, 10.367, 426
5, 10.391, 533
4, 10.417, 414
5, 10.442, 523
4, 10.468, 405
5, 10.493, 515
4, 10.518, 395
5, 10.544, 508
4, 10.569, 388
5, 10.594, 504
4, 10.620, 382
5, 10.645, 503
4, 10.671, 380
5, 10.695, 503
4, 10.721, 380
5, 10.747, 506
4, 10.772, 383
5, 10.797, 511
4, 10.822, 389
5, 10.848, 519
4, 10.874, 396
5, 10.898, 528
4, 10.924, 406
5, 10.949, 538
4, 10.975, 417
5, 11.000, 548
4, 11.025, 428
5, 11.051, 559
4, 11.076, 440
5, 11.102, 568
4, 11.126, 451
5, 11.152, 578
4, 11.178, 463
5, 11.203, 586
4, 11.228, 472
5, 11.253, 592
4, 11.279, 479
5, 11.305, 596
4, 11.329, 484
5, 11.355, 597
4, 11.380, 486
5, 11.406, 597
4, 11.431, 485
5, 11.456, 594
4, 11.482, 482
5, 11.507, 589
4, 11.532, 477
5, 11.558, 582
4, 11.583, 469
5, 11.609, 573
4, 11.633, 460
5, 11.659, 563
4, 11.685, 448
5, 11.710, 553
4, 11.735, 436
5, 11.760, 542
4, 11.786, 425
5, 11.812, 533
4, 11.836, 413
5, 11.862, 523
4, 11.887, 403
5, 11.913, 515
4, 11.938, 394
5, 11.963, 510
4, 11.989, 387
5, 12.014, 506
4, 12.039, 383
5, 12.064, 504
4, 12.090, 381
5, 12.116, 505
4, 12.140, 382
5, 12.166, 508
4, 12.191, 385
5, 12.217, 513
4, 12.242, 391
5, 12.267, 520
4, 12.293, 399
5, 12.318, 528
4, 12.343, 408
5, 12.369, 538
4, 12.394, 420
5, 12.420, 548
4, 12.444, 431
5, 12.470, 559
4, 12.496, 443
5, 12.521, 568
4, 12.546, 455
5, 12.571, 577
4, 12.597, 465
5, 12.623, 584
4, 12.647, 473
5, 12.673, 590
4, 12.698, 480
5, 12.724, 594
4, 12.749, 484
5, 12.774, 596
4, 12.800, 485
5, 12.825, 594
4, 12.850, 485
5, 12.875, 591
4, 12.901, 481
5, 12.927, 586
4, 12.951, 475
5, 12.977, 580
4, 13.002, 467
5, 13.028, 572
4, 13.053, 457
5, 13.078, 563
4, 13.104, 446
5, 13.129, 552
4, 13.154, 434
5, 13.180, 543
4, 13.205, 422
5, 13.231, 533
4, 13.255, 412
5, 13.281, 524
4, 13.307, 401
5, 13.332, 517
4, 13.357, 393
5, 13.382, 512
4, 13.408, 386
5, 13.434, 508
4, 13.458, 382
5, 13.484, 507
4, 13.509, 381
5, 13.535, 507
4, 13.560, 383
5, 13.585, 510
4, 13.611, 387
5, 13.636, 515
4, 13.661, 393
5, 13.686, 522
4, 13.712, 401
5, 13.738, 531
4, 13.762, 411
5, 13.788, 540
4, 13.813, 422
5, 13.839, 549
