# Created on 2026-03-12 15:29:17.056198+01:00 (1773325757.056198 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 0.025, 540
5, 0.051, 506
4, 0.076, 540
5, 0.101, 505
4, 0.127, 539
5, 0.152, 506
4, 0.177, 539
5, 0.203, 506
4, 0.228, 539
5, 0.254, 506
4, 0.278, 539
5, 0.304, 506
4, 0.329, 539
5, 0.355, 505
4, 0.380, 540
5, 0.405, 506
4, 0.431, 539
5, 0.456, 506
4, 0.482, 539
5, 0.507, 506
4, 0.532, 539
5, 0.558, 506
4, 0.583, 540
5, 0.608, 506
4, 0.634, 538
5, 0.659, 506
4, 0.685, 540
5, 0.709, 505
4, 0.735, 539
5, 0.761, 506
4, 0.786, 539
5, 0.811, 506
4, 0.836, 539
5, 0.862, 506
4, 0.888, 539
5, 0.912, 506
4, 0.938, 539
5, 0.963, 506
4, 0.989, 539
5, 1.014, 506
4, 1.039, 540
5, 1.065, 506
4, 1.090, 539
5, 1.115, 506
4, 1.140, 539
5, 1.166, 506
4, 1.192, 539
5, 1.216, 506
4, 1.242, 539
5, 1.267, 506
4, 1.293, 539
5, 1.318, 506
4, 1.343, 539
5, 1.369, 506
4, 1.394, 539
5, 1.419, 506
4, 1.445, 539
5, 1.470, 506
4, 1.496, 540
5, 1.520, 506
4, 1.546, 539
5, 1.572, 506
4, 1.597, 539
5, 1.622, 506
4, 1.647, 539
5, 1.673, 506
4, 1.699, 538
5, 1.723, 506
4, 1.749, 535
5, 1.774, 506
4, 1.800, 530
5, 1.825, 506
4, 1.850, 523
5, 1.876, 506
4, 1.901, 515
5, 1.926, 506
4, 1.951, 506
5, 1.977, 506
4, 2.003, 497
5, 2.027, 506
4, 2.053, 488
5, 2.078, 506
4, 2.104, 479
5, 2.129, 506
4, 2.154, 472
5, 2.180, 505
4, 2.205, 466
5, 2.230, 505
4, 2.256, 461
5, 2.281, 505
4, 2.307, 459
5, 2.331, 505
4, 2.357, 459
5, 2.383, 505
4, 2.408, 460
5, 2.433, 505
4, 2.458, 463
5, 2.484, 506
4, 2.510, 467
5, 2.534, 506
4, 2.560, 474
5, 2.585, 506
4, 2.611, 482
5, 2.636, 505
4, 2.661, 491
5, 2.687, 505
4, 2.712, 499
5, 2.738, 506
4, 2.763, 509
5, 2.788, 506
4, 2.814, 517
5, 2.839, 506
4, 2.864, 524
5, 2.889, 506
4, 2.915, 531
5, 2.941, 507
4, 2.965, 534
5, 2.991, 506
4, 3.016, 537
5, 3.042, 506
4, 3.067, 538
5, 3.092, 506
4, 3.118, 536
5, 3.143, 506
4, 3.168, 533
5, 3.194, 506
4, 3.219, 527
5, 3.245, 506
4, 3.269, 520
5, 3.295, 506
4, 3.321, 513
5, 3.346, 506
4, 3.371, 504
5, 3.396, 506
4, 3.422, 495
5, 3.448, 506
4, 3.472, 487
5, 3.498, 507
4, 3.523, 479
5, 3.549, 506
4, 3.574, 472
5, 3.599, 506
4, 3.625, 466
5, 3.650, 506
4, 3.675, 462
5, 3.700, 506
4, 3.726, 461
5, 3.752, 505
4, 3.776, 459
5, 3.802, 506
4, 3.827, 461
5, 3.853, 506
4, 3.878, 464
5, 3.903, 506
4, 3.929, 469
5, 3.954, 505
4, 3.979, 476
5, 4.005, 506
4, 4.030, 483
5, 4.056, 506
4, 4.080, 492
5, 4.106, 506
4, 4.132, 501
5, 4.157, 506
4, 4.182, 509
5, 4.207, 506
4, 4.233, 518
5, 4.259, 506
4, 4.283, 524
5, 4.309, 506
4, 4.334, 530
5, 4.360, 506
4, 4.385, 534
5, 4.410, 506
4, 4.436, 536
5, 4.461, 507
4, 4.486, 537
5, 4.511, 506
4, 4.537, 535
5, 4.563, 506
4, 4.587, 531
5, 4.613, 506
4, 4.638, 527
5, 4.664, 506
4, 4.689, 520
5, 4.714, 506
4, 4.740, 512
5, 4.765, 505
4, 4.790, 503
5, 4.816, 505
4, 4.841, 495
5, 4.867, 505
4, 4.891, 486
5, 4.917, 506
4, 4.943, 478
5, 4.968, 506
4, 4.993, 471
5, 5.018, 506
4, 5.044, 466
5, 5.070, 505
4, 5.094, 463
5, 5.120, 505
4, 5.145, 462
5, 5.171, 505
4, 5.196, 461
5, 5.221, 505
4, 5.247, 463
5, 5.272, 505
4, 5.297, 466
5, 5.323, 505
4, 5.348, 471
5, 5.374, 505
4, 5.398, 478
5, 5.424, 506
4, 5.449, 484
5, 5.475, 506
4, 5.500, 494
5, 5.525, 506
4, 5.551, 502
5, 5.576, 506
4, 5.602, 510
5, 5.627, 506
4, 5.652, 518
5, 5.678, 506
4, 5.703, 525
5, 5.728, 507
4, 5.754, 529
5, 5.779, 506
4, 5.805, 533
5, 5.829, 506
4, 5.855, 535
5, 5.881, 506
4, 5.906, 535
5, 5.931, 506
4, 5.956, 533
5, 5.982, 506
4, 6.008, 529
5, 6.032, 507
4, 6.058, 525
5, 6.083, 506
4, 6.109, 518
5, 6.134, 506
4, 6.159, 509
5, 6.185, 507
4, 6.210, 501
5, 6.235, 507
4, 6.260, 493
5, 6.286, 506
4, 6.312, 485
5, 6.336, 506
4, 6.362, 478
5, 6.387, 506
4, 6.413, 471
5, 6.438, 506
4, 6.463, 467
5, 6.489, 505
4, 6.514, 464
5, 6.539, 506
4, 6.565, 462
5, 6.590, 506
4, 6.616, 462
5, 6.640, 506
4, 6.666, 464
5, 6.692, 506
4, 6.717, 469
5, 6.742, 505
4, 6.767, 474
5, 6.793, 505
4, 6.819, 480
5, 6.843, 505
4, 6.869, 487
5, 6.894, 506
4, 6.920, 495
5, 6.945, 506
4, 6.970, 503
5, 6.996, 506
4, 7.021, 511
5, 7.046, 505
4, 7.071, 519
5, 7.097, 505
4, 7.123, 525
5, 7.147, 505
4, 7.173, 529
5, 7.198, 506
4, 7.224, 532
5, 7.249, 506
4, 7.274, 534
5, 7.300, 506
4, 7.325, 534
5, 7.350, 506
4, 7.376, 532
5, 7.401, 506
4, 7.427, 528
5, 7.451, 507
4, 7.477, 523
5, 7.503, 506
4, 7.528, 516
5, 7.553, 506
4, 7.578, 508
5, 7.604, 506
4, 7.630, 500
5, 7.654, 506
4, 7.680, 492
5, 7.705, 506
4, 7.731, 485
5, 7.756, 506
4, 7.781, 478
5, 7.807, 505
4, 7.832, 472
5, 7.857, 505
4, 7.883, 468
5, 7.908, 505
4, 7.934, 464
5, 7.958, 506
4, 7.984, 463
5, 8.009, 505
4, 8.035, 463
5, 8.060, 506
4, 8.085, 466
5, 8.111, 506
4, 8.136, 470
5, 8.161, 505
4, 8.187, 475
5, 8.212, 506
4, 8.238, 482
5, 8.262, 505
4, 8.288, 489
5, 8.314, 506
4, 8.339, 497
5, 8.364, 506
4, 8.389, 504
5, 8.415, 506
4, 8.441, 512
5, 8.465, 506
4, 8.491, 518
5, 8.516, 506
4, 8.542, 524
5, 8.567, 506
4, 8.592, 528
5, 8.618, 506
4, 8.643, 531
5, 8.669, 505
4, 8.694, 533
5, 8.719, 506
4, 8.745, 532
5, 8.770, 506
4, 8.795, 530
5, 8.820, 506
4, 8.846, 526
5, 8.872, 506
4, 8.896, 520
5, 8.922, 506
4, 8.947, 514
5, 8.973, 506
4, 8.998, 507
5, 9.023, 506
4, 9.049, 499
5, 9.074, 506
4, 9.099, 492
5, 9.125, 506
4, 9.150, 483
5, 9.176, 506
4, 9.200, 478
5, 9.226, 505
4, 9.252, 473
5, 9.277, 505
4, 9.302, 468
5, 9.327, 506
4, 9.353, 466
5, 9.379, 505
4, 9.403, 464
5, 9.429, 506
4, 9.454, 465
5, 9.480, 506
4, 9.505, 468
5, 9.530, 505
4, 9.556, 471
5, 9.581, 506
4, 9.606, 477
5, 9.631, 505
4, 9.657, 483
5, 9.683, 506
4, 9.707, 490
5, 9.733, 506
4, 9.758, 498
5, 9.784, 505
4, 9.809, 505
5, 9.834, 506
4, 9.860, 512
5, 9.885, 505
4, 9.910, 520
5, 9.936, 505
4, 9.961, 525
5, 9.987, 506
4, 10.011, 529
5, 10.037, 506
4, 10.063, 531
5, 10.088, 506
4, 10.113, 532
5, 10.138, 506
4, 10.164, 531
5, 10.190, 506
4, 10.214, 528
5, 10.240, 506
4, 10.265, 524
5, 10.291, 506
4, 10.316, 520
5, 10.341, 505
4, 10.367, 513
5, 10.392, 506
4, 10.417, 505
5, 10.443, 505
4, 10.468, 498
5, 10.494, 506
4, 10.518, 491
5, 10.544, 506
4, 10.569, 484
5, 10.595, 505
4, 10.620, 478
5, 10.645, 506
4, 10.671, 472
5, 10.696, 505
4, 10.721, 469
5, 10.747, 505
4, 10.772, 467
5, 10.798, 506
4, 10.822, 466
5, 10.848, 505
4, 10.874, 467
5, 10.899, 506
4, 10.924, 470
5, 10.949, 506
4, 10.975, 474
5, 11.001, 505
4, 11.025, 479
5, 11.051, 506
4, 11.076, 485
5, 11.102, 506
4, 11.127, 492
5, 11.152, 506
4, 11.178, 499
5, 11.203, 506
4, 11.228, 506
5, 11.254, 506
4, 11.279, 513
5, 11.305, 506
4, 11.329, 519
5, 11.355, 506
4, 11.380, 525
5, 11.406, 506
4, 11.431, 528
5, 11.456, 506
4, 11.482, 530
5, 11.507, 506
4, 11.532, 531
5, 11.558, 507
4, 11.583, 530
5, 11.609, 506
4, 11.633, 527
5, 11.659, 506
4, 11.685, 523
5, 11.710, 506
4, 11.735, 517
5, 11.760, 505
4, 11.786, 511
5, 11.812, 506
4, 11.836, 504
5, 11.862, 506
4, 11.887, 497
5, 11.913, 506
4, 11.938, 490
5, 11.963, 505
4, 11.989, 484
5, 12.014, 506
4, 12.039, 478
5, 12.065, 506
4, 12.090, 473
5, 12.116, 506
4, 12.140, 470
5, 12.166, 506
4, 12.191, 468
5, 12.217, 505
4, 12.242, 467
5, 12.267, 506
4, 12.293, 469
5, 12.318, 506
4, 12.343, 472
5, 12.369, 505
4, 12.394, 476
5, 12.420, 505
4, 12.444, 480
5, 12.470, 505
4, 12.496, 487
5, 12.521, 505
4, 12.546, 492
5, 12.571, 506
4, 12.597, 501
5, 12.623, 506
4, 12.647, 507
5, 12.673, 505
4, 12.698, 513
5, 12.724, 505
4, 12.749, 519
5, 12.774, 506
4, 12.800, 523
5, 12.825, 506
4, 12.850, 528
5, 12.876, 506
4, 12.901, 529
5, 12.927, 505
4, 12.951, 530
5, 12.977, 506
4, 13.003, 527
5, 13.028, 506
4, 13.053, 525
5, 13.078, 506
4, 13.104, 521
5, 13.129, 505
4, 13.154, 515
5, 13.180, 506
4, 13.205, 510
5, 13.231, 506
4, 13.255, 503
5, 13.281, 506
4, 13.307, 496
5, 13.332, 506
4, 13.357, 489
5, 13.382, 505
4, 13.408, 483
5, 13.434, 505
4, 13.458, 478
5, 13.484, 505
4, 13.509, 473
5, 13.535, 506
4, 13.560, 470
5, 13.585, 506
4, 13.611, 469
5, 13.636, 506
4, 13.661, 469
5, 13.687, 506
4, 13.712, 470
5, 13.738, 506
4, 13.762, 473
5, 13.788, 506
4, 13.814, 477
5, 13.839, 506
4, 13.864, 482
5, 13.889, 505
4, 13.915, 488
5, 13.940, 505
4, 13.965, 494
5, 13.991, 506
4, 14.016, 502
5, 14.042, 506
4, 14.066, 507
5, 14.092, 506
4, 14.118, 514
5, 14.143, 505
4, 14.168, 519
5, 14.193, 506
4, 14.219, 523
5, 14.245, 506
4, 14.269, 527
5, 14.295, 507
4, 14.320, 528
5, 14.346, 506
4, 14.371, 528
5, 14.396, 505
4, 14.422, 527
5, 14.447, 505
4, 14.472, 524
5, 14.498, 506
4, 14.523, 519
5, 14.549, 506
4, 14.573, 514
5, 14.599, 506
4, 14.625, 508
5, 14.650, 506
4, 14.675, 502
5, 14.700, 505
4, 14.726, 495
5, 14.751, 506
4, 14.776, 489
5, 14.802, 506
4, 14.827, 481
5, 14.853, 506
4, 14.877, 478
5, 14.903, 505
4, 14.929, 474
5, 14.954, 506
4, 14.979, 471
5, 15.004, 506
4, 15.030, 470
5, 15.056, 506
4, 15.080, 470
5, 15.106, 506
4, 15.131, 472
5, 15.157, 505
4, 15.182, 475
5, 15.207, 505
4, 15.233, 479
5, 15.258, 506
4, 15.283, 483
5, 15.309, 506
4, 15.334, 490
5, 15.360, 506
4, 15.384, 495
5, 15.410, 506
4, 15.436, 502
5, 15.461, 506
4, 15.486, 509
5, 15.511, 506
4, 15.537, 514
5, 15.563, 506
4, 15.587, 519
5, 15.613, 506
4, 15.638, 523
5, 15.664, 506
4, 15.688, 526
5, 15.714, 506
4, 15.740, 527
5, 15.765, 506
4, 15.790, 527
5, 15.815, 506
4, 15.841, 525
5, 15.867, 506
4, 15.891, 522
5, 15.917, 506
4, 15.942, 518
5, 15.968, 506
4, 15.993, 513
5, 16.018, 506
4, 16.044, 507
5, 16.069, 505
4, 16.094, 501
5, 16.120, 505
4, 16.145, 495
5, 16.171, 505
4, 16.195, 488
5, 16.221, 506
4, 16.247, 482
5, 16.272, 505
4, 16.297, 479
5, 16.322, 505
4, 16.348, 474
5, 16.374, 505
4, 16.398, 472
5, 16.424, 505
4, 16.449, 471
5, 16.475, 506
4, 16.499, 471
5, 16.525, 506
4, 16.551, 473
5, 16.576, 507
4, 16.601, 476
5, 16.626, 505
4, 16.652, 480
5, 16.678, 506
4, 16.702, 485
5, 16.728, 505
4, 16.753, 491
5, 16.779, 505
4, 16.804, 497
5, 16.829, 506
4, 16.855, 503
5, 16.880, 505
4, 16.905, 509
5, 16.931, 506
4, 16.956, 514
5, 16.982, 506
4, 17.006, 519
5, 17.032, 506
4, 17.058, 522
5, 17.083, 507
4, 17.108, 525
5, 17.133, 506
4, 17.159, 526
5, 17.185, 506
4, 17.209, 525
5, 17.235, 506
4, 17.260, 523
5, 17.286, 506
4, 17.310, 520
5, 17.336, 506
4, 17.362, 516
5, 17.387, 505
4, 17.412, 511
5, 17.437, 506
4, 17.463, 505
5, 17.489, 506
4, 17.513, 499
5, 17.539, 506
4, 17.564, 494
5, 17.590, 506
4, 17.616, 488
5, 17.640, 506
4, 17.666, 482
5, 17.691, 506
4, 17.717, 478
5, 17.742, 506
4, 17.767, 475
5, 17.793, 506
4, 17.818, 473
5, 17.843, 506
4, 17.869, 472
5, 17.894, 506
4, 17.920, 472
5, 17.944, 506
4, 17.970, 474
5, 17.996, 506
4, 18.021, 478
5, 18.046, 506
4, 18.071, 482
5, 18.097, 506
4, 18.123, 486
5, 18.147, 505
4, 18.173, 492
5, 18.198, 506
4, 18.224, 498
5, 18.248, 506
4, 18.274, 504
5, 18.300, 506
4, 18.325, 509
5, 18.350, 506
4, 18.375, 514
5, 18.401, 506
4, 18.427, 519
5, 18.451, 505
4, 18.477, 522
5, 18.502, 506
4, 18.528, 524
5, 18.553, 506
4, 18.578, 525
5, 18.604, 506
4, 18.629, 524
5, 18.654, 506
4, 18.680, 521
5, 18.705, 505
4, 18.731, 519
5, 18.755, 505
4, 18.781, 515
5, 18.807, 505
4, 18.832, 510
5, 18.857, 506
4, 18.882, 505
5, 18.908, 506
4, 18.934, 498
5, 18.958, 506
4, 18.984, 493
5, 19.009, 506
4, 19.035, 488
5, 19.059, 506
4, 19.085, 482
5, 19.111, 506
4, 19.136, 479
5, 19.161, 505
4, 19.186, 476
5, 19.212, 506
4, 19.238, 474
5, 19.262, 505
4, 19.288, 474
5, 19.313, 506
4, 19.339, 474
5, 19.364, 505
4, 19.389, 476
5, 19.415, 506
4, 19.440, 480
5, 19.465, 505
4, 19.491, 484
5, 19.516, 505
4, 19.542, 488
5, 19.566, 505
4, 19.592, 493
5, 19.618, 507
4, 19.643, 498
5, 19.668, 506
4, 19.693, 505
5, 19.719, 506
4, 19.745, 510
5, 19.769, 505
4, 19.795, 514
5, 19.820, 505
4, 19.846, 519
5, 19.870, 506
4, 19.896, 521
5, 19.922, 506
4, 19.947, 523
5, 19.972, 506
4, 19.997, 523
5, 20.023, 506
4, 20.049, 522
5, 20.073, 506
4, 20.099, 520
5, 20.124, 506
4, 20.150, 517
5, 20.175, 507
4, 20.200, 513
5, 20.226, 506
4, 20.251, 508
5, 20.276, 506
4, 20.302, 503
5, 20.327, 506
4, 20.353, 498
5, 20.377, 506
4, 20.403, 492
5, 20.429, 506
4, 20.454, 487
5, 20.479, 506
4, 20.504, 482
5, 20.530, 506
4, 20.556, 479
5, 20.580, 506
4, 20.606, 476
5, 20.631, 506
4, 20.657, 475
5, 20.681, 506
4, 20.707, 474
5, 20.733, 506
4, 20.758, 476
5, 20.784, 506
4, 20.808, 479
5, 20.834, 506
4, 20.860, 481
5, 20.885, 506
4, 20.910, 485
5, 20.935, 506
4, 20.961, 489
5, 20.987, 506
4, 21.011, 494
5, 21.037, 505
4, 21.062, 500
5, 21.088, 506
4, 21.113, 504
5, 21.138, 506
4, 21.164, 510
5, 21.189, 506
4, 21.214, 515
5, 21.240, 506
4, 21.265, 518
5, 21.291, 506
4, 21.315, 521
5, 21.341, 507
4, 21.367, 522
5, 21.392, 506
4, 21.417, 522
5, 21.442, 506
4, 21.468, 522
5, 21.494, 505
4, 21.518, 520
5, 21.544, 506
4, 21.569, 516
5, 21.595, 505
4, 21.619, 512
5, 21.645, 506
4, 21.671, 507
5, 21.696, 506
4, 21.721, 502
5, 21.746, 506
4, 21.772, 497
5, 21.798, 506
4, 21.822, 492
5, 21.848, 506
4, 21.873, 487
5, 21.899, 506
4, 21.924, 483
5, 21.949, 506
4, 21.975, 480
5, 22.000, 505
4, 22.025, 478
5, 22.051, 506
4, 22.076, 476
5, 22.102, 505
4, 22.126, 476
5, 22.152, 505
4, 22.178, 477
5, 22.203, 506
4, 22.228, 479
5, 22.253, 506
4, 22.279, 482
5, 22.305, 506
4, 22.329, 486
5, 22.355, 506
4, 22.380, 491
5, 22.406, 505
4, 22.430, 495
5, 22.456, 506
4, 22.482, 500
5, 22.507, 506
4, 22.532, 505
5, 22.557, 506
4, 22.583, 511
5, 22.609, 506
4, 22.633, 515
5, 22.659, 506
4, 22.684, 518
5, 22.710, 506
4, 22.735, 519
5, 22.760, 506
4, 22.786, 521
5, 22.811, 506
4, 22.836, 521
5, 22.862, 506
4, 22.887, 520
5, 22.913, 506
4, 22.937, 517
5, 22.963, 505
4, 22.989, 514
5, 23.014, 506
4, 23.039, 511
5, 23.064, 506
4, 23.090, 506
5, 23.116, 506
4, 23.140, 501
5, 23.166, 506
4, 23.191, 497
5, 23.217, 505
4, 23.241, 492
5, 23.267, 505
