# Created on 2026-03-12 16:04:06.822553+01:00 (1773327846.822553 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 7.909, 428
4, 7.934, 454
5, 7.959, 422
4, 7.985, 485
5, 8.010, 423
4, 8.036, 517
5, 8.060, 430
4, 8.086, 547
5, 8.112, 443
4, 8.137, 574
5, 8.162, 460
4, 8.187, 595
5, 8.213, 483
4, 8.239, 611
5, 8.263, 507
4, 8.289, 619
5, 8.314, 534
4, 8.340, 622
5, 8.365, 562
4, 8.390, 617
5, 8.416, 589
4, 8.441, 605
5, 8.467, 613
4, 8.491, 587
5, 8.517, 634
4, 8.543, 564
5, 8.568, 649
4, 8.593, 537
5, 8.618, 657
4, 8.644, 509
5, 8.670, 661
4, 8.694, 479
5, 8.720, 658
4, 8.745, 450
5, 8.771, 648
4, 8.796, 424
5, 8.821, 633
4, 8.847, 401
5, 8.872, 612
4, 8.897, 382
5, 8.923, 587
4, 8.948, 370
5, 8.974, 558
4, 8.998, 365
5, 9.024, 530
4, 9.050, 365
5, 9.075, 500
4, 9.100, 372
5, 9.125, 474
4, 9.151, 386
5, 9.177, 449
4, 9.201, 402
5, 9.227, 428
4, 9.252, 425
5, 9.278, 414
4, 9.302, 451
5, 9.328, 406
4, 9.354, 478
5, 9.379, 405
4, 9.404, 505
5, 9.429, 411
4, 9.455, 531
5, 9.481, 424
4, 9.505, 554
5, 9.531, 443
4, 9.556, 573
5, 9.582, 467
4, 9.607, 588
5, 9.632, 495
4, 9.658, 597
5, 9.683, 526
4, 9.708, 600
5, 9.734, 557
4, 9.759, 597
5, 9.785, 587
4, 9.809, 590
5, 9.835, 615
4, 9.861, 576
5, 9.886, 639
4, 9.911, 558
5, 9.936, 658
4, 9.962, 536
5, 9.988, 671
4, 10.012, 513
5, 10.038, 674
4, 10.063, 488
5, 10.089, 674
4, 10.114, 464
5, 10.139, 664
4, 10.165, 441
5, 10.190, 649
4, 10.215, 422
5, 10.240, 627
4, 10.266, 406
5, 10.292, 601
4, 10.316, 394
5, 10.342, 571
4, 10.367, 387
5, 10.393, 539
4, 10.418, 387
5, 10.443, 505
4, 10.469, 391
5, 10.494, 475
4, 10.519, 400
5, 10.545, 446
4, 10.570, 414
5, 10.596, 422
4, 10.620, 430
5, 10.646, 405
4, 10.672, 450
5, 10.697, 394
4, 10.722, 472
5, 10.747, 391
4, 10.773, 494
5, 10.799, 396
4, 10.823, 515
5, 10.849, 408
4, 10.874, 534
5, 10.900, 428
4, 10.925, 551
5, 10.950, 453
4, 10.976, 563
5, 11.001, 482
4, 11.026, 572
5, 11.051, 516
4, 11.077, 576
5, 11.103, 549
4, 11.127, 575
5, 11.153, 583
4, 11.178, 570
5, 11.204, 614
4, 11.229, 560
5, 11.254, 642
4, 11.280, 547
5, 11.305, 664
4, 11.331, 531
5, 11.356, 679
4, 11.381, 513
5, 11.407, 686
4, 11.432, 494
5, 11.457, 687
4, 11.483, 475
5, 11.508, 679
4, 11.534, 457
5, 11.558, 664
4, 11.584, 441
5, 11.610, 641
4, 11.635, 429
5, 11.660, 614
4, 11.685, 418
5, 11.711, 583
4, 11.737, 412
5, 11.761, 548
4, 11.787, 411
5, 11.812, 512
4, 11.838, 413
5, 11.862, 478
4, 11.888, 419
5, 11.914, 446
4, 11.939, 429
5, 11.964, 419
4, 11.989, 440
5, 12.015, 398
4, 12.041, 455
