# Created on 2026-03-12 16:07:25.105886+01:00 (1773328045.105886 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 0.025, 469
5, 0.051, 360
4, 0.076, 470
5, 0.102, 359
4, 0.126, 471
5, 0.152, 360
4, 0.178, 470
5, 0.203, 360
4, 0.228, 470
5, 0.253, 360
4, 0.279, 470
5, 0.305, 360
4, 0.329, 471
5, 0.355, 359
4, 0.380, 470
5, 0.406, 359
4, 0.430, 470
5, 0.456, 359
4, 0.482, 470
5, 0.507, 360
4, 0.533, 470
5, 0.557, 359
4, 0.583, 470
5, 0.609, 359
4, 0.634, 469
5, 0.659, 359
4, 0.684, 469
5, 0.710, 359
4, 0.736, 469
5, 0.760, 359
4, 0.786, 469
5, 0.811, 359
4, 0.837, 469
5, 0.862, 359
4, 0.887, 469
5, 0.913, 359
4, 0.938, 469
5, 0.963, 359
4, 0.989, 469
5, 1.014, 359
4, 1.040, 469
5, 1.064, 359
4, 1.090, 470
5, 1.116, 358
4, 1.141, 470
5, 1.166, 359
4, 1.191, 470
5, 1.217, 363
4, 1.243, 470
5, 1.267, 375
4, 1.293, 470
5, 1.318, 397
4, 1.344, 470
5, 1.368, 426
4, 1.394, 470
5, 1.420, 462
4, 1.445, 471
5, 1.470, 502
4, 1.495, 471
5, 1.521, 544
4, 1.547, 473
5, 1.571, 587
4, 1.597, 474
5, 1.622, 627
4, 1.648, 476
5, 1.673, 662
4, 1.698, 478
5, 1.724, 692
4, 1.749, 480
5, 1.774, 714
4, 1.800, 483
5, 1.825, 727
4, 1.851, 485
5, 1.875, 729
4, 1.901, 489
5, 1.927, 722
4, 1.952, 492
5, 1.977, 708
4, 2.002, 495
5, 2.028, 684
4, 2.054, 496
5, 2.078, 653
4, 2.104, 498
5, 2.129, 615
4, 2.155, 499
5, 2.179, 575
4, 2.205, 499
5, 2.231, 533
4, 2.256, 497
5, 2.281, 491
4, 2.306, 494
5, 2.332, 453
4, 2.358, 491
5, 2.382, 419
4, 2.408, 486
5, 2.433, 392
4, 2.459, 481
5, 2.484, 373
4, 2.509, 476
5, 2.535, 364
4, 2.560, 470
5, 2.585, 366
4, 2.611, 464
5, 2.636, 374
4, 2.662, 458
5, 2.686, 394
4, 2.712, 452
5, 2.738, 421
4, 2.763, 449
5, 2.788, 454
4, 2.813, 446
5, 2.839, 493
