# Created on 2026-03-12 15:44:28.043422+01:00 (1773326668.043422 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 7.907, 532
4, 7.933, 506
5, 7.958, 525
4, 7.983, 506
5, 8.008, 516
4, 8.034, 505
5, 8.060, 507
4, 8.084, 506
5, 8.110, 498
4, 8.135, 506
5, 8.161, 488
4, 8.186, 505
5, 8.211, 481
4, 8.237, 506
5, 8.262, 475
4, 8.287, 506
5, 8.313, 469
4, 8.338, 506
5, 8.364, 467
4, 8.388, 506
5, 8.414, 466
4, 8.440, 505
5, 8.465, 467
4, 8.490, 505
5, 8.515, 470
4, 8.541, 506
5, 8.567, 474
4, 8.591, 506
5, 8.617, 481
4, 8.642, 506
5, 8.668, 488
4, 8.692, 505
5, 8.718, 497
4, 8.744, 505
5, 8.769, 506
4, 8.794, 505
5, 8.819, 515
4, 8.845, 506
5, 8.871, 524
4, 8.895, 506
5, 8.921, 531
4, 8.946, 505
5, 8.972, 537
4, 8.997, 506
5, 9.022, 542
4, 9.048, 506
5, 9.073, 546
4, 9.099, 506
5, 9.124, 546
4, 9.149, 506
5, 9.175, 545
4, 9.200, 506
5, 9.225, 542
4, 9.251, 506
5, 9.276, 537
4, 9.302, 506
5, 9.326, 531
4, 9.352, 506
5, 9.378, 523
4, 9.403, 505
5, 9.428, 515
4, 9.453, 506
5, 9.479, 505
4, 9.505, 505
5, 9.529, 495
4, 9.555, 506
5, 9.580, 489
4, 9.606, 506
5, 9.630, 482
4, 9.656, 505
5, 9.682, 476
4, 9.707, 505
5, 9.732, 471
4, 9.757, 505
5, 9.783, 468
4, 9.809, 505
5, 9.833, 467
4, 9.859, 506
5, 9.884, 468
4, 9.910, 505
5, 9.935, 472
4, 9.960, 506
5, 9.986, 477
4, 10.011, 506
5, 10.036, 483
4, 10.062, 505
5, 10.087, 489
4, 10.113, 506
5, 10.137, 498
4, 10.163, 506
5, 10.189, 507
4, 10.214, 506
5, 10.239, 515
4, 10.264, 506
5, 10.290, 523
4, 10.316, 507
5, 10.340, 530
4, 10.366, 506
5, 10.391, 537
4, 10.417, 506
5, 10.441, 541
4, 10.467, 506
5, 10.493, 544
4, 10.518, 505
5, 10.543, 544
4, 10.568, 506
5, 10.594, 542
4, 10.620, 506
5, 10.644, 540
4, 10.670, 506
5, 10.695, 534
4, 10.721, 506
5, 10.746, 529
4, 10.771, 505
5, 10.797, 522
4, 10.822, 506
5, 10.847, 514
4, 10.873, 506
5, 10.898, 506
4, 10.924, 506
5, 10.948, 498
4, 10.974, 506
5, 11.000, 489
4, 11.025, 506
5, 11.050, 482
4, 11.075, 505
5, 11.101, 477
4, 11.127, 505
5, 11.151, 473
4, 11.177, 506
5, 11.202, 469
4, 11.228, 506
5, 11.252, 469
4, 11.278, 506
5, 11.304, 470
4, 11.329, 506
5, 11.354, 472
4, 11.379, 506
5, 11.405, 478
4, 11.431, 506
5, 11.455, 484
4, 11.481, 506
5, 11.506, 491
4, 11.532, 506
5, 11.557, 499
4, 11.582, 506
5, 11.608, 507
4, 11.633, 505
5, 11.658, 515
4, 11.684, 505
5, 11.709, 523
4, 11.735, 506
5, 11.759, 530
4, 11.785, 505
5, 11.811, 536
4, 11.836, 506
5, 11.861, 539
4, 11.886, 505
5, 11.912, 542
4, 11.938, 505
5, 11.962, 542
4, 11.988, 505
5, 12.013, 542
4, 12.039, 506
5, 12.063, 538
4, 12.089, 506
5, 12.115, 534
4, 12.140, 505
5, 12.166, 529
4, 12.190, 505
5, 12.216, 522
4, 12.242, 506
5, 12.267, 514
4, 12.292, 506
5, 12.317, 505
4, 12.343, 506
5, 12.369, 497
4, 12.393, 506
5, 12.419, 489
4, 12.444, 505
5, 12.470, 483
4, 12.495, 506
5, 12.520, 478
4, 12.546, 506
5, 12.571, 474
4, 12.596, 506
5, 12.622, 471
4, 12.647, 506
5, 12.673, 471
4, 12.697, 506
5, 12.723, 472
4, 12.749, 506
5, 12.774, 474
4, 12.799, 506
5, 12.824, 479
4, 12.850, 506
5, 12.876, 486
4, 12.900, 506
5, 12.926, 492
4, 12.951, 506
5, 12.977, 499
4, 13.001, 506
5, 13.027, 507
4, 13.053, 505
5, 13.078, 515
4, 13.103, 506
5, 13.128, 523
4, 13.154, 507
5, 13.180, 529
4, 13.204, 506
5, 13.230, 534
4, 13.255, 506
5, 13.281, 538
4, 13.306, 506
5, 13.331, 540
4, 13.357, 506
5, 13.382, 541
4, 13.407, 506
5, 13.433, 540
4, 13.458, 506
5, 13.484, 537
4, 13.508, 506
5, 13.534, 532
4, 13.560, 506
5, 13.585, 527
4, 13.610, 507
5, 13.635, 520
4, 13.661, 506
5, 13.687, 513
4, 13.711, 506
5, 13.737, 505
4, 13.762, 506
