# Created on 2026-03-12 15:49:15.136306+01:00 (1773326955.136306 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 0.025, 535
5, 0.051, 507
4, 0.076, 536
5, 0.101, 507
4, 0.127, 535
5, 0.152, 506
4, 0.178, 535
5, 0.202, 507
4, 0.228, 535
5, 0.254, 507
4, 0.279, 535
5, 0.304, 507
4, 0.329, 535
5, 0.355, 507
4, 0.381, 535
5, 0.405, 507
4, 0.431, 535
5, 0.456, 507
4, 0.482, 535
5, 0.507, 507
4, 0.532, 535
5, 0.558, 507
4, 0.583, 535
5, 0.608, 507
4, 0.633, 535
5, 0.659, 507
4, 0.685, 535
5, 0.709, 506
4, 0.735, 536
5, 0.760, 506
4, 0.786, 535
5, 0.811, 507
4, 0.836, 535
5, 0.862, 507
4, 0.887, 535
5, 0.912, 507
4, 0.938, 536
5, 0.963, 506
4, 0.989, 536
5, 1.013, 507
4, 1.039, 535
5, 1.065, 506
4, 1.090, 535
5, 1.115, 506
4, 1.140, 536
5, 1.166, 506
4, 1.192, 535
5, 1.216, 506
4, 1.242, 535
5, 1.267, 507
4, 1.293, 536
5, 1.318, 507
4, 1.343, 535
5, 1.369, 507
4, 1.394, 535
5, 1.419, 506
4, 1.445, 534
5, 1.470, 506
4, 1.496, 530
5, 1.520, 507
4, 1.546, 525
5, 1.571, 507
4, 1.597, 517
5, 1.622, 506
4, 1.647, 507
5, 1.673, 507
4, 1.698, 497
5, 1.723, 507
4, 1.749, 487
5, 1.774, 507
4, 1.800, 475
5, 1.824, 507
4, 1.850, 466
5, 1.876, 507
4, 1.901, 457
5, 1.926, 507
4, 1.951, 449
5, 1.977, 507
4, 2.003, 444
5, 2.027, 507
4, 2.053, 440
5, 2.078, 507
4, 2.104, 439
5, 2.129, 506
4, 2.154, 440
5, 2.180, 507
4, 2.205, 444
5, 2.230, 506
4, 2.256, 450
5, 2.281, 507
4, 2.307, 458
5, 2.331, 507
4, 2.357, 467
5, 2.382, 507
4, 2.408, 476
5, 2.433, 507
4, 2.458, 487
5, 2.484, 507
4, 2.509, 497
5, 2.534, 507
4, 2.560, 507
5, 2.585, 507
4, 2.611, 515
5, 2.635, 507
4, 2.661, 522
5, 2.687, 507
4, 2.712, 527
5, 2.737, 507
4, 2.762, 531
5, 2.788, 507
4, 2.814, 532
5, 2.838, 507
4, 2.864, 530
5, 2.889, 507
4, 2.915, 526
5, 2.940, 507
4, 2.965, 521
5, 2.991, 507
4, 3.016, 514
5, 3.041, 507
4, 3.067, 505
5, 3.092, 507
4, 3.118, 496
5, 3.142, 507
4, 3.168, 486
5, 3.193, 507
4, 3.219, 475
5, 3.244, 507
4, 3.269, 466
5, 3.295, 507
4, 3.320, 458
5, 3.345, 507
4, 3.371, 451
5, 3.396, 507
4, 3.422, 446
5, 3.446, 507
4, 3.472, 443
5, 3.498, 507
4, 3.523, 442
5, 3.548, 507
4, 3.573, 443
5, 3.599, 507
4, 3.625, 447
5, 3.649, 507
4, 3.675, 452
5, 3.700, 507
4, 3.726, 459
5, 3.751, 506
4, 3.776, 468
5, 3.802, 507
4, 3.827, 477
5, 3.852, 507
4, 3.878, 487
5, 3.903, 507
4, 3.929, 496
5, 3.954, 507
4, 3.979, 507
5, 4.005, 507
4, 4.030, 514
5, 4.056, 507
4, 4.080, 521
5, 4.106, 507
4, 4.131, 526
5, 4.157, 507
4, 4.182, 529
5, 4.207, 507
4, 4.233, 531
5, 4.258, 507
4, 4.283, 530
5, 4.309, 507
4, 4.334, 526
5, 4.360, 507
4, 4.384, 522
5, 4.410, 507
4, 4.436, 513
5, 4.461, 507
4, 4.486, 504
5, 4.511, 506
4, 4.537, 496
5, 4.563, 507
4, 4.587, 485
5, 4.613, 507
4, 4.638, 475
5, 4.664, 508
4, 4.689, 466
5, 4.714, 506
4, 4.740, 458
5, 4.765, 506
4, 4.790, 452
5, 4.816, 507
4, 4.841, 447
5, 4.867, 506
4, 4.891, 444
5, 4.917, 507
4, 4.942, 444
5, 4.968, 505
4, 4.993, 446
5, 5.018, 506
4, 5.044, 450
5, 5.069, 506
4, 5.094, 455
5, 5.120, 506
4, 5.145, 462
5, 5.171, 507
4, 5.195, 470
5, 5.221, 507
4, 5.247, 479
5, 5.272, 506
4, 5.297, 489
5, 5.322, 506
4, 5.348, 498
5, 5.374, 506
4, 5.398, 507
5, 5.424, 506
4, 5.449, 515
5, 5.475, 506
4, 5.500, 521
5, 5.525, 507
4, 5.551, 526
5, 5.576, 507
4, 5.601, 528
5, 5.627, 507
4, 5.652, 529
5, 5.678, 507
4, 5.702, 527
5, 5.728, 507
4, 5.753, 524
5, 5.779, 507
4, 5.804, 519
5, 5.829, 506
4, 5.855, 512
5, 5.880, 507
4, 5.905, 503
5, 5.931, 507
4, 5.956, 494
5, 5.982, 507
4, 6.006, 485
5, 6.032, 506
4, 6.058, 477
5, 6.083, 507
4, 6.108, 467
5, 6.133, 507
4, 6.159, 460
5, 6.185, 507
4, 6.209, 453
5, 6.235, 507
4, 6.260, 449
5, 6.286, 507
4, 6.311, 446
5, 6.336, 506
4, 6.362, 445
5, 6.387, 506
4, 6.412, 447
5, 6.438, 507
4, 6.463, 450
5, 6.489, 507
4, 6.513, 456
5, 6.539, 507
4, 6.565, 463
5, 6.590, 507
4, 6.615, 471
5, 6.640, 507
4, 6.666, 480
5, 6.691, 508
4, 6.716, 489
5, 6.742, 507
4, 6.767, 497
5, 6.793, 507
4, 6.817, 506
5, 6.843, 507
4, 6.869, 513
5, 6.894, 506
4, 6.919, 520
5, 6.944, 506
4, 6.970, 524
5, 6.996, 508
4, 7.020, 527
5, 7.046, 507
4, 7.071, 527
5, 7.097, 506
4, 7.122, 526
5, 7.147, 506
4, 7.173, 523
5, 7.198, 506
4, 7.223, 517
5, 7.249, 506
4, 7.274, 511
5, 7.300, 506
4, 7.324, 502
5, 7.350, 506
4, 7.376, 494
5, 7.401, 507
4, 7.426, 485
5, 7.451, 507
4, 7.477, 476
5, 7.502, 507
4, 7.527, 468
5, 7.553, 506
4, 7.578, 461
5, 7.604, 507
4, 7.628, 455
5, 7.654, 507
4, 7.680, 450
5, 7.705, 507
4, 7.730, 448
5, 7.755, 507
4, 7.781, 447
5, 7.807, 507
4, 7.831, 449
5, 7.857, 507
4, 7.882, 453
5, 7.908, 507
4, 7.933, 458
5, 7.958, 507
4, 7.984, 464
5, 8.009, 507
4, 8.034, 472
5, 8.060, 507
4, 8.085, 481
5, 8.111, 507
4, 8.135, 489
5, 8.161, 507
4, 8.187, 497
5, 8.212, 507
4, 8.237, 506
5, 8.262, 507
4, 8.288, 513
5, 8.313, 507
4, 8.338, 518
5, 8.364, 507
4, 8.389, 522
5, 8.415, 507
4, 8.439, 525
5, 8.465, 506
4, 8.491, 526
5, 8.516, 507
4, 8.541, 523
5, 8.566, 507
4, 8.592, 520
5, 8.618, 507
4, 8.642, 516
5, 8.668, 507
4, 8.693, 509
5, 8.719, 507
4, 8.744, 502
5, 8.769, 506
4, 8.795, 492
5, 8.820, 507
4, 8.845, 484
5, 8.871, 506
4, 8.896, 477
5, 8.922, 506
4, 8.946, 469
5, 8.972, 506
4, 8.998, 462
5, 9.023, 506
4, 9.048, 456
5, 9.073, 507
4, 9.099, 452
5, 9.125, 507
4, 9.149, 451
5, 9.175, 507
4, 9.200, 450
5, 9.226, 506
4, 9.250, 451
5, 9.276, 507
4, 9.302, 455
5, 9.327, 507
4, 9.352, 459
5, 9.377, 506
4, 9.403, 466
5, 9.429, 506
4, 9.453, 474
5, 9.479, 506
4, 9.504, 481
5, 9.530, 507
4, 9.555, 489
5, 9.580, 507
4, 9.606, 498
5, 9.631, 507
4, 9.656, 506
5, 9.682, 507
4, 9.707, 512
5, 9.733, 507
4, 9.757, 518
5, 9.783, 507
4, 9.809, 522
5, 9.834, 507
4, 9.859, 523
5, 9.884, 508
4, 9.910, 524
5, 9.936, 507
4, 9.960, 522
5, 9.986, 507
4, 10.011, 518
5, 10.037, 507
4, 10.061, 514
5, 10.087, 507
4, 10.113, 507
5, 10.138, 507
4, 10.163, 500
5, 10.188, 507
4, 10.214, 493
5, 10.240, 507
4, 10.264, 483
5, 10.290, 507
4, 10.315, 476
5, 10.341, 507
4, 10.366, 468
5, 10.391, 507
4, 10.417, 462
5, 10.442, 507
4, 10.467, 457
5, 10.493, 507
4, 10.518, 453
5, 10.544, 507
4, 10.568, 451
5, 10.594, 506
4, 10.620, 451
5, 10.645, 507
4, 10.670, 453
5, 10.695, 507
4, 10.721, 456
5, 10.747, 507
4, 10.771, 461
5, 10.797, 507
4, 10.822, 468
5, 10.848, 507
4, 10.872, 474
5, 10.898, 507
4, 10.924, 482
5, 10.949, 507
4, 10.974, 491
5, 10.999, 507
4, 11.025, 498
5, 11.051, 507
4, 11.075, 505
5, 11.101, 507
4, 11.126, 511
5, 11.152, 507
4, 11.177, 517
5, 11.202, 507
4, 11.228, 520
5, 11.253, 507
4, 11.278, 522
5, 11.304, 507
4, 11.329, 522
5, 11.355, 507
4, 11.379, 521
5, 11.405, 506
4, 11.431, 517
5, 11.456, 507
4, 11.481, 512
5, 11.506, 507
4, 11.532, 506
5, 11.558, 507
4, 11.582, 499
5, 11.608, 507
4, 11.633, 491
5, 11.659, 507
4, 11.683, 484
5, 11.709, 507
4, 11.735, 477
5, 11.760, 507
4, 11.786, 469
5, 11.810, 507
4, 11.836, 463
5, 11.862, 507
4, 11.887, 458
5, 11.912, 507
4, 11.937, 455
5, 11.963, 507
4, 11.989, 453
5, 12.013, 507
4, 12.039, 453
5, 12.064, 507
4, 12.090, 455
5, 12.115, 507
4, 12.140, 458
5, 12.166, 507
4, 12.191, 463
5, 12.216, 507
4, 12.242, 469
5, 12.267, 507
4, 12.293, 476
5, 12.317, 506
4, 12.343, 484
5, 12.369, 506
4, 12.394, 491
5, 12.419, 507
4, 12.444, 498
5, 12.470, 507
4, 12.496, 505
5, 12.520, 506
4, 12.546, 511
5, 12.571, 507
4, 12.597, 516
5, 12.621, 507
4, 12.647, 519
5, 12.673, 507
4, 12.698, 520
5, 12.723, 507
4, 12.748, 520
5, 12.774, 507
4, 12.800, 519
5, 12.824, 506
4, 12.850, 516
5, 12.875, 507
4, 12.901, 511
5, 12.926, 507
4, 12.951, 505
5, 12.977, 506
4, 13.002, 498
5, 13.027, 507
4, 13.053, 491
5, 13.078, 506
4, 13.104, 484
5, 13.128, 507
4, 13.154, 477
5, 13.180, 506
4, 13.205, 470
5, 13.230, 506
4, 13.255, 464
5, 13.281, 506
4, 13.307, 459
5, 13.331, 506
4, 13.357, 457
5, 13.382, 507
4, 13.408, 455
5, 13.432, 506
4, 13.458, 455
5, 13.484, 507
4, 13.509, 457
5, 13.534, 506
4, 13.559, 460
5, 13.585, 507
4, 13.611, 464
5, 13.635, 507
4, 13.661, 471
5, 13.686, 506
4, 13.712, 478
5, 13.737, 506
4, 13.762, 484
5, 13.788, 506
4, 13.813, 491
5, 13.838, 507
4, 13.864, 498
5, 13.889, 506
4, 13.915, 505
5, 13.939, 506
4, 13.965, 511
5, 13.991, 507
4, 14.016, 516
5, 14.041, 506
4, 14.066, 518
5, 14.092, 507
4, 14.118, 520
5, 14.142, 507
4, 14.168, 520
5, 14.193, 507
4, 14.219, 518
5, 14.243, 506
4, 14.269, 514
5, 14.295, 507
4, 14.320, 509
5, 14.345, 507
4, 14.370, 504
5, 14.396, 507
4, 14.422, 498
5, 14.446, 507
4, 14.472, 490
5, 14.497, 507
4, 14.523, 483
5, 14.548, 507
4, 14.573, 476
5, 14.599, 507
4, 14.624, 470
5, 14.649, 507
4, 14.675, 464
5, 14.700, 507
4, 14.726, 461
5, 14.751, 507
4, 14.776, 457
5, 14.802, 507
4, 14.827, 456
5, 14.853, 506
4, 14.877, 457
5, 14.903, 507
4, 14.929, 459
5, 14.954, 507
4, 14.979, 462
5, 15.004, 507
4, 15.030, 466
5, 15.056, 507
4, 15.080, 471
5, 15.106, 506
4, 15.131, 478
5, 15.157, 507
4, 15.181, 485
5, 15.207, 506
4, 15.233, 492
5, 15.258, 506
4, 15.283, 499
5, 15.308, 507
4, 15.334, 505
5, 15.360, 507
4, 15.384, 511
5, 15.410, 507
4, 15.435, 513
5, 15.461, 507
4, 15.486, 517
5, 15.511, 508
4, 15.537, 518
5, 15.562, 507
4, 15.587, 518
5, 15.613, 508
4, 15.638, 516
5, 15.664, 507
4, 15.688, 513
5, 15.714, 507
4, 15.740, 508
5, 15.765, 507
4, 15.790, 503
5, 15.815, 507
4, 15.841, 496
5, 15.867, 507
4, 15.891, 489
5, 15.917, 507
4, 15.942, 483
5, 15.968, 507
4, 15.992, 476
5, 16.018, 507
4, 16.044, 470
5, 16.069, 507
4, 16.094, 465
5, 16.119, 507
4, 16.145, 461
5, 16.171, 507
4, 16.195, 459
5, 16.221, 507
4, 16.246, 457
5, 16.272, 507
4, 16.297, 457
5, 16.322, 507
4, 16.348, 459
5, 16.373, 507
4, 16.398, 463
5, 16.424, 506
4, 16.449, 468
5, 16.475, 506
4, 16.499, 473
5, 16.525, 506
4, 16.551, 479
5, 16.576, 507
4, 16.601, 486
5, 16.626, 506
4, 16.652, 492
5, 16.678, 506
4, 16.702, 499
5, 16.728, 506
4, 16.753, 505
5, 16.779, 507
4, 16.803, 509
5, 16.829, 507
4, 16.855, 513
5, 16.880, 507
4, 16.905, 516
5, 16.930, 507
4, 16.956, 517
5, 16.982, 507
4, 17.006, 517
5, 17.032, 507
4, 17.057, 515
5, 17.083, 506
4, 17.108, 512
5, 17.133, 507
4, 17.159, 508
5, 17.184, 507
4, 17.209, 502
5, 17.235, 507
4, 17.260, 496
5, 17.286, 506
4, 17.310, 490
5, 17.336, 506
4, 17.362, 483
5, 17.387, 506
4, 17.412, 477
5, 17.437, 506
4, 17.463, 471
5, 17.489, 507
4, 17.513, 467
5, 17.539, 507
4, 17.564, 462
5, 17.590, 507
4, 17.614, 460
5, 17.640, 507
4, 17.666, 459
5, 17.691, 506
4, 17.716, 459
5, 17.741, 506
4, 17.767, 461
5, 17.793, 507
4, 17.817, 464
5, 17.843, 507
4, 17.868, 468
5, 17.894, 507
4, 17.919, 474
5, 17.944, 506
4, 17.970, 480
5, 17.995, 507
4, 18.021, 487
5, 18.046, 506
4, 18.071, 492
5, 18.097, 507
4, 18.122, 498
5, 18.147, 506
4, 18.173, 504
5, 18.198, 507
4, 18.224, 509
5, 18.248, 506
4, 18.274, 513
5, 18.300, 506
4, 18.325, 515
5, 18.350, 507
4, 18.375, 515
5, 18.401, 507
4, 18.427, 515
5, 18.451, 507
4, 18.477, 514
5, 18.502, 507
4, 18.528, 510
5, 18.552, 507
4, 18.578, 506
5, 18.604, 506
4, 18.629, 501
5, 18.654, 506
4, 18.679, 495
5, 18.705, 507
